species,population,plant_height_cm,corolla_area_mm2,spur_length_mm,first_flower_day,flowers,fruits,mean_fruit_mass_mg
conopsea,graborg_c,20.7,86.7664,14.1,161,27,23,12.66717676
conopsea,graborg_c,26.2,75.1032,12.81,160,31,29,13.14061577
conopsea,graborg_c,26.2,101.6928,14.94,162,33,30,13.075121749999999
conopsea,graborg_c,23.6,94.354,11.19,163,35,7,17.75022547
conopsea,graborg_c,16.2,60.0642,4.23,164,17,2,6.3604971890000002
conopsea,graborg_c,21.2,111.7209,5.26,162,27,7,13.92236447
conopsea,graborg_c,25.4,113.434,13.94,164,33,31,11.065114149999999
conopsea,graborg_c,20.7,79.933,13.06,163,28,28,12.50532334
conopsea,graborg_c,22.3,78.6149,13.58,163,33,33,16.209607380000001
conopsea,graborg_c,28.2,101.4189,13.19,162,37,31,16.961916030000001
conopsea,graborg_c,26.5,99.54,13.6,160,30,29,14.36150162
conopsea,graborg_c,21.5,79.35,10.01,161,15,8,6.9052353980000003
conopsea,graborg_c,24,97.86,12.24,164,21,19,9.4094720009999993
conopsea,graborg_c,19.9,55.2598,5.88,164,20,3,11.135752630000001
conopsea,graborg_c,21.1,63.896,14.93,160,27,26,12.312855170000001
conopsea,graborg_c,19.5,66.0231,14.12,159,24,21,9.8758090860000003
conopsea,graborg_c,17.3,70.585,12.74,160,26,24,7.247275385
conopsea,graborg_c,34.3,103.132,13.62,160,42,37,19.609247710000002
densiflora,graborg_d,43.1,148.24,13.5,186,49,35,12.99666667
densiflora,graborg_d,30.4,105.609,12.85,187,32,30,5.17
densiflora,graborg_d,31.1,105.154,13.66,184,61,39,4.2566666670000002
densiflora,graborg_d,24.7,101.5721,15.74,187,39,32,4.92
densiflora,graborg_d,34.4,108.046,14.47,188,41,36,9.7066666670000004
densiflora,graborg_d,48.7,108.5635,13.56,187,63,54,11.81666667
densiflora,graborg_d,42.3,106.8911,14.31,185,56,53,9.7133333329999996
densiflora,graborg_d,44,147.2808,13.97,186,75,69,7.7133333329999996
densiflora,graborg_d,40.9,93.5192,14.46,184,64,61,9.91
densiflora,graborg_d,35.5,103.0617,15.75,185,40,37,7.9633333329999996
densiflora,graborg_d,31.6,100.6455,12.8,190,30,12,6.77
densiflora,graborg_d,26.7,101.7772,15.34,189,34,31,4.79
densiflora,graborg_d,38.5,131.2064,16.09,188,50,41,8.0766666669999996
